category_code,category_name_en,group_code,group_name_en,type_code,type_name_en,component_code,component_name_en,unit,result_type,sex,age_from_days,age_to_days,age_from_value,age_to_value,age_unit,low_normal,high_normal,normal_range_text,range_note,status
CHEM,Clinical Chemistry,CARD,Cardiac Markers,BNP,"B-Type Natriuretic Peptide, Plasma",BNP,"B-Type Natriuretic Peptide, Plasma",pg/mL,NUMERIC,M,30295,36500,83,,year,,93.0,< or =93 pg/mL,"Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,CARD,Cardiac Markers,BNP,"B-Type Natriuretic Peptide, Plasma",BNP,"B-Type Natriuretic Peptide, Plasma",pg/mL,NUMERIC,F,30295,36500,83,,year,,167.0,< or =167 pg/mL,"Threshold value (guideline-based), verify interpretation",OK
CHEM,Clinical Chemistry,IRON,Iron Studies,IRON,"Iron, Serum",IRON,"Iron, Serum",mcg/dL,NUMERIC,M,0,36500,,,,50.0,150.0,50-150 mcg/dL,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,IRON,"Iron, Serum",IRON,"Iron, Serum",mcg/dL,NUMERIC,F,0,36500,,,,35.0,145.0,35-145 mcg/dL,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,SFEC,"Iron and Total Iron-Binding Capacity, Serum",SFEC_Iron,Iron,mcg/dL,NUMERIC,M,0,36500,,,,50.0,150.0,50-150 mcg/dL,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,SFEC,"Iron and Total Iron-Binding Capacity, Serum",SFEC_Iron,Iron,mcg/dL,NUMERIC,F,0,36500,,,,35.0,145.0,35-145 mcg/dL,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,SFEC,"Iron and Total Iron-Binding Capacity, Serum",SFEC_TotalIronB,Total Iron-Binding Capacity,mcg/dL,NUMERIC,F,0,36500,,,,250.0,400.0,250-400 mcg/dL,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,SFEC,"Iron and Total Iron-Binding Capacity, Serum",SFEC_PercentSat,Percent Saturation,%,NUMERIC,F,0,36500,,,,14.0,50.0,14-50%,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,M,0,28,0,4,week,150.0,973.0,150-973 mcg/L,,OK
CHEM,Clinical Chemistry,IRON,Iron Studies,FERR1,"Ferritin, Serum",FERR1,"Ferritin, Serum",mcg/L,NUMERIC,M,35,150,5,5,month,9.0,580.0,9-580 mcg/L,,OK
